:4
C1:2
C11:2
C13:2
C15:2
C17:2
C18:2
C2:2
C21:2
C22:2
C25:2
C27:2
C29:2
C31:2
C33:2
C34:2
C37:2
C39:2
C45:2
C46:2
C49:2
C5:2
C50:2
C7:2
C9:2
D1:2
D2:2
IN_CURRENT:2
J6:2
J8:4
L1:2
L2:2
L5:2
L6:2
OUT_CURRENT:2
R1:2
R10:2
R12:2
R14:2
R15:2
R16:2
R20:2
R30:2
R31:2
R33:2
R34:2
R5:2
R52:2
R6:2
R7:2
REF**:1
U1:2
U10:2
U9:2
